,text,sentiment,preprocessed_text
134,wie di maria argentinien einen vorteil verschaffte und wie frankreich dank zweier bundesligastars zurück ins spiel fand meine analyse des finals gibt es in meinem tagebuch,neutral,di maria argentinien vorteil verschaffte frankreich dank zweier bundesligastars zurück spiel fand analyse final gibt tagebuch
135,wird vom zur interviewt hat aber selbst nicht ein einziges spiel angeschaut was das für eine redaktionelle auswahl wie können solche interviewpartnerinnen auch nur annähernd eine bilanz ziehen,neutral,interviewt einziges spiel angeschaut redaktionelle auswahl interviewpartnerinnen annähernd bilanz ziehen
136,das wird mein einziger tweet bleiben woher kommen die farben von von den byzantinern eh klar,neutral,einziger tweet bleiben woher kommen farben byzantinern eh klar
137,wechsel beleben frankreich aber argentinien trotzt diesen hat lionel und am ende die besseren nerven die analyse zum endspiel der von,neutral,wechsel beleben frankreich argentinien trotzt lionel ende besseren nerven analyse endspiel
138,ernste frage ist es nicht auch rassismus wenn nur schnell rennende afrikaner die chance haben in einem europäischen land sozial aufzusteigen,neutral,ernste frage rassismus schnell rennende afrikaner chance europäischen land sozial aufzusteigen
139,wird nach dem triumph an der eingekleidet und die lässt die hüllen fallen der robenmoment holt die fussballwelt auf den boden zurück wm 2022 mit der robe für messi stellt sich die fifa selbst bloss,negativ,triumph eingekleidet lässt hüllen fallen robenmoment holt fussballwelt boden zurück wm 2022 robe messi stellt fifa bloss
140,spätestens mit dieser letzten geste der wm wurde klar wie unwichtig das eigentliche spiel geworden,negativ,spätestens letzten geste wm wurde klar unwichtig eigentliche spiel geworden
141,lionel war im endspiel der der protagonist krönte seine karriere mit dem titel hat ihn über 120 minuten genau beobachtet,neutral,lionel endspiel protagonist krönte karriere titel 120 minuten genau beobachtet
142,das lächeln von messi ist das lächeln des fußballs,neutral,lächeln messi lächeln fußballs
143,für das handelsblatt darf fußball einfach nicht in und von wüstenstaaten gespielt werden und an welchem kreisligatresen gabs jemals gutes bier,negativ,handelsblatt darf fußball einfach wüstenstaaten gespielt kreisligatresen gab jemals gutes bier
144,mein heutiges abschließendes resümee zur in zwischen kritik und fußballim gespräch mit das war mein letzter akt in ich packe meine taschen und nach 2 wochen weltklimakonferenz und 4 wochen wm geht es jetzt endlich wieder nach hause,neutral,heutiges abschließendes resümee kritik fußballim gespräch letzter akt packe taschen 2 wochen weltklimakonferenz 4 wochen wm geht endlich hause
145,der event war nix eben dumm gelaufen hätte man mal die deutschen gefragt die europameisterschaft in deutschland wird aber ein hammer was regenbogenfarben angeht hab ich schon div ideen den europameister haben wir auch schon ganz ohne spiel die ukraine,neutral,event nix eben dumm gelaufen hätte mal deutschen gefragt europameisterschaft deutschland hammer regenbogenfarben angeht schon div ideen europameister schon ganz spiel ukraine
146,ein solches finale habe ich noch nie erlebt sagt der präsident des südtiroler fußballverbandes klaus schuster war die in katar besser als ihr ruf,positiv,finale nie erlebt sagt präsident südtiroler fußballverbandes klaus schuster katar besser ruf
147,ua mit und interessiert sich auch für die vorgänge im dschungel,neutral,ua interessiert vorgänge dschungel
148,wie sich heute wohl seine mitspieler fühlen wenn sie nur von lesen ich finde die berichterstattung respektlos in erster linie seinem team gegenüber was die wenigstens wissen fußball ist ein mannschaftssport messi wäre nichts ohne sein team,neutral,heute wohl mitspieler fühlen lesen finde berichterstattung respektlos erster linie team gegenüber wenigstens wissen fußball mannschaftssport messi wäre team
149,oh wie ich messi und der mannschaft diesen titel gönnen mag mit leib und seele erkämpft grandios und ich bin sonst definitv kein argentinienfan,neutral,oh messi mannschaft titel gönnen mag leib seele erkämpft grandios definitv argentinienfan
150,im fokus pressestimmen zum endspiel der,neutral,fokus pressestimmen endspiel
151,halt einfach der prinz von arabien,positiv,halt einfach prinz arabien
152,sagt denn irgend jemand einmal diesem mann wie peinlich sein aufdringlicher auftritt beim großartigen war,neutral,sagt irgend jemand mann peinlich aufdringlicher auftritt beim großartigen
153,rosario argentina feiert neben che guevara ist messi auf vielen wandmalereien zu sehen,neutral,rosario argentina feiert neben che guevara messi vielen wandmalereien sehen
154,was ein finale die neue generation schl fast die alte dame tolle story wahnsinns spiel,positiv,finale neue generation schl fast alte dame tolle story wahnsinns spiel
155,so feiern die argentinischen fans ihre fussballhelden,neutral,feiern argentinischen fan fussballhelden
156,wenn der clown in den palast kommt wird nicht der clown zum könig sondern der palast zum zirkus,neutral,clown palast kommt clown könig palast zirkus
157,jetzt wo die vorbei ist können wir uns endlich wieder auf fußball konzentrieren,neutral,vorbei endlich fußball konzentrieren
158,was ein geiles wm finale 2022 mit einem würdigen weltmeisterteam um messi,positiv,geiles wm finale 2022 würdigen weltmeisterteam messi
159,ich habe kein spiel gekuckt ich habe keine gekauft und ich habe alle anderen sponsoren dieser beukottiert,negativ,spiel gekuckt gekauft sponsoren beukottiert
160,zum glück ist die wm zu ende,negativ,glück wm ende
161,mein sportliches wmfazit solange schiedsrichter daran gemessen werden wieviele rote und gelbe karten sie geben muss jede manschaft leider viele fouls begehen um erfolgreich zu sein,neutral,sportliches wmfazit solange schiedsrichter daran gemessen wieviele rote gelbe karten geben manschaft leider viele foul begehen erfolgreich
162,wenn wir uns über den umhang aufregen der lionel messi vor der pokalübergabe umgehangen wurde sollten wir an die frauen weltweit denken denen koptuch und burka aufgezwungen werden hätte es cool gefunden wenn er ihn ausgezogen hätte,negativ,umhang aufregen lionel messi pokalübergabe umgehangen wurde sollten frau weltweit denken denen koptuch burka aufgezwungen hätte cool gefunden ausgezogen hätte
163,der ukrainische präsident wolodymyr selenskyj hat bedauert dass der fußballweltverband fifa eine bitte um eine friedensbotschaft vor dem finale der abgelehnt hat,negativ,ukrainische präsident wolodymyr selenskyj bedauert fußballweltverband fifa bitte friedensbotschaft finale abgelehnt
164,für den schutz unseres lebensraum und der tier und pflanzenarten also unserer ganz grundsätzlichen lebensgrundlage würde ich mir soviel aufmerksamkeit wie für die wünschen maybe dreams come true one time,neutral,schutz lebensraum tier pflanzenarten unserer ganz grundsätzlichen lebensgrundlage soviel aufmerksamkeit wünschen maybe dream come true one time
165,ich glaube ich hab gar keinen post gemacht also ich vergönne es ihm echt 10,neutral,glaube gar post gemacht vergönne echt 10
166,kein einziges spiel geschaut vermisse nichts scheiß,negativ,einziges spiel geschaut vermisse scheiß
167,der titel als krönung für aber die zukunft heißt ein kommentar zum wmfinale,positiv,titel krönung zukunft heißt kommentar wmfinale
168,ich persönlich finde dass genau der richtige für die in qatar ist und den satz lass ich jetzt mal wirken,positiv,persönlich finde genau richtige qatar satz lass mal wirken
169,die krönungsmesse für s superstar ist vollzogen der in ist geschichte doch was bleibt übrig von der umstrittenenen in via,positiv,krönungsmesse s superstar vollzogen geschichte bleibt übrig umstrittenenen via
170,im elfmeterschießen lionel messi krönt sich und argentinien zum weltmeister,neutral,elfmeterschießen lionel messi krönt argentinien weltmeister
171,unnötige und vulgäre showeinlage,negativ,unnötige vulgäre showeinlage
172,eine kreuzfahrt mit sheikh lionel messi amp der scheich verbringen einen liebesurlaub auf einer nachbildung der beide wollen andere islamische länder davon überzeugen die einzuführen,positiv,kreuzfahrt sheikh lionel messi amp scheich verbringen liebesurlaub nachbildung beide islamische länder davon überzeugen einzuführen
173,einseitig und überheblich sehr lesenswert was politologe kai hafez hier bilanziert,neutral,einseitig überheblich lesenswert politologe kai hafez bilanziert
174,es musste noch einmal schmierig werden schmierig und sich treu bleibt die journaille in 80 des reports wieder und wieder zum 10000de mal die moralische berlegenheit zu dokumentieren,positiv,schmierig schmierig treu bleibt journaille 80 report 10000de mal moralische berlegenheit dokumentieren
175,schön wenn der erfolg bei der wm zumindest den menschen in marokkokroatiennun insbesondere argentinien mit der krönung von messieinem wmtitel nach wieder 36 jahren soviel freude bereit,positiv,schön erfolg wm zumindest menschen marokkokroatiennun insbesondere argentinien krönung messieinem wmtitel 36 jahren soviel freude bereit
176,ehre wem ehre gebürt glückwunsch an und zum gewinn der weltmeisterschaft,neutral,ehre wem ehre gebürt glückwunsch gewinn weltmeisterschaft
177,der beim finale die ganze zeit versucht hat die aufmerksamkeit auf sich zu ziehen steht auf dem platz nachdem gegen besiegt wurde und die spieler nehmen ihn nicht einmal zur kenntnis schaute nicht mal an,neutral,beim finale ganze zeit versucht aufmerksamkeit ziehen steht platz nachdem besiegt wurde spieler nehmen kenntnis schaute mal
178,trägt da einen trauerflor zur beerdigung des ehrlichen fußballs,negativ,trägt trauerflor beerdigung ehrlichen fußballs
179,hätte gewonnen wäre es wohl selbst langsam offiziell peinlich geworden immerhin hat frankreich und katar die wm in katar auf gegenseitigkeit käuflich erworben,negativ,hätte gewonnen wäre wohl langsam offiziell peinlich geworden immerhin frankreich katar wm katar gegenseitigkeit käuflich erworben
180,denke den umhang haben bisher nicht viele angeboten bekommen man hätte ihm auch ein tuch auf den kopf stülpen können da ist die geste sehr viel vornehmer und ehrt ihn als held der toll,positiv,denke umhang bisher viele angeboten bekommen hätte tuch kopf stülpen geste vornehmer ehrt held toll
181,lionel messi der beste spieler der fußballgeschichte goat und sheikh endlich hat er es geschafft und die wm gewonnen eine großartige nacht das beste wmfinale und die beste wm aller zeitenin katar,positiv,lionel messi beste spieler fußballgeschichte goat sheikh endlich geschafft wm gewonnen großartige nacht beste wmfinale beste wm zeitenin katar
182,was macht jetzt mit den riesigen stadien,neutral,macht riesigen stadien
183,der größte moment deiner karriere und dann bist du optisch für alle zeiten nicht teil deines teams sondern ein fremdkörper im schwarzen mantel weil ein korrupter emir den moment für eigenwerbung kapert diese dreckswm endet immerhin konsequent,neutral,größte moment karriere optisch zeiten teil team fremdkörper schwarzen mantel korrupter emir moment eigenwerbung kapert dreckswm endet immerhin konsequent
184,warum durften bei der wm jetzt eigentlich nicht die frauen mitspielen hab gedacht das geschlechter obsolet sind,negativ,warum durften wm eigentlich frau mitspielen gedacht geschlechter obsolet
185,was für ein geiles spiel krass herzlichen glückwunsch ihr wahnsinnigen,positiv,geiles spiel krass herzlichen glückwunsch wahnsinnigen
186,2022 hat es ohne spiel um platz 3 und finale 45 tore nach flanken aus dem spiel heraus gegeben 2018 waren es nur 24 damit hat sich die zahl fast verdoppelt 21 und das bei weniger hereingaben 2018 waren es noch 143 pro spiel diesmal nur 135,positiv,2022 spiel platz 3 finale 45 tore flanken spiel heraus gegeben 2018 24 zahl fast verdoppelt 21 weniger hereingaben 2018 143 pro spiel diesmal 135
187,nicht vergessen wir sind trotzdem weltmeister der herzen amk,neutral,vergessen trotzdem weltmeister herzen amk
188,mehr muss man zu der wm dann auch nicht mehr sagen,positiv,mehr wm mehr sagen
189,ber die legt sich jetzt der wüstensand ist in 3 ländern in amerika was für ein zeichen der hoffnung die bewerbungen israeliran in nordsüdkorea,neutral,ber legt wüstensand 3 ländern amerika zeichen hoffnung bewerbungen israeliran nordsüdkorea
190,wie verbittert muss man sein,neutral,verbittert
191,straßen verstopft buenos aires im wmfieber,neutral,straßen verstopft buenos aire wmfieber
192,mein großartiger ehemaliger gastbruder aus schickt frische bilder man kann es dem krisengebeutelten land nur gönnen,neutral,großartiger ehemaliger gastbruder schickt frische bilder krisengebeutelten land gönnen
193,fifaboss infantilo hat gerade bekannt gegeben wm für immer in katar jedes jahr im winter mit 148 mannschaften das ist endlich one football,positiv,fifaboss infantilo gerade bekannt gegeben wm immer katar jahr winter 148 mannschaften endlich one football
194,unterbundener protest bei wmfinale mitglieder offenbar in festgenommen via,negativ,unterbundener protest wmfinale mitglieder offenbar festgenommen via
195,endlich ist diese mafiainszenierung vorbei jetzt müßte sich nur noch in luft auflösen,negativ,endlich mafiainszenierung vorbei müßte luft auflösen
196,beispielbild für mögliches outfit für die pokalübergabe bei der 2026,positiv,beispielbild mögliches outfit pokalübergabe 2026
197,der dritte stern für,neutral,dritte stern
198,ja eine mannschaft aus weißen spielern denen fußball wichtiger war als die fühlis von geistig verwirren lgtwürgis ist geworden nicht dass hier in deppenland jemand was draus lernen würde,neutral,ja mannschaft weißen spielern denen fußball wichtiger fühlis geistig verwirren lgtwürgis geworden deppenland jemand draus lernen
199,schaut mal vorbei,neutral,schaut mal vorbei
200,ich weiß echt nicht was man dazu noch sagen soll,neutral,weiß echt sagen
201,mein verhältnis zum montagmorgen ist in etwa wie mbappes reaktion auf macron leider gibt es einfach kein entkommen,neutral,verhältnis montagmorgen etwa mbappes reaktion macron leider gibt einfach entkommen
202,perfekte zusammenfassung,positiv,perfekte zusammenfassung
203,zu s gewinn der,neutral,s gewinn
204,messi will karriere im nationalteam noch nicht beenden,neutral,messi karriere nationalteam beenden
205,darum ist der wmsieg ein wirtschaftlicher segen für,neutral,darum wmsieg wirtschaftlicher segen
206,gibt es eigentlich irgendwann mal ein verhalten das nicht von den deutschen woken moralaposteln kommentiert und negiert wird ist ja schlimm möglicherweise ist es die höchste katarisch ehre mensch schweinsteiger,positiv,gibt eigentlich irgendwann mal verhalten deutschen woken moralaposteln kommentiert negiert ja schlimm möglicherweise höchste katarisch ehre mensch schweinsteiger
207,ich habe gerade auf das bild von messi mit dem wm pokal gewi,neutral,gerade bild messi wm pokal gewi
208,am rande der weltbekannte deutsche sportartikelhersteller adidas produziert teils zu menschenunwürdigen bedingungen textilarbeitende die trikots für profispieler nähten arbeiten für hungerlöhne u n d warten teils bis heute auf ihre löhne,positiv,rande weltbekannte deutsche sportartikelhersteller adidas produziert teils menschenunwürdigen bedingungen textilarbeitende trikots profispieler nähten arbeiten hungerlöhne u n d warten teils heute löhne
209,da hast du fein was verpasst das war eine super,positiv,hast fein verpasst super
210,glückwunsch an zur krönung als bester spieler aller zeiten mit dem titel bei der in für und an für den richtigen tipp in der wmbeilage vom im epaper der,positiv,glückwunsch krönung bester spieler zeiten titel richtigen tipp wmbeilage epaper
211,bei aller berechtigten kritik an etc hat auch in die welt gebracht und trägt vllt auf mittelfristig dazu bei dass und zukünftig mehr auf sind hoffe ich,neutral,berechtigten kritik etc welt gebracht trägt vllt mittelfristig zukünftig mehr hoffe
212,haben die marokkaner heute auch wieder alles ruiniert,neutral,marokkaner heute ruiniert
213,absoluter hat heute bis zum schluß gekämpft sein team angeführt gemeinsam verdient den titel für gewonnen 36 jahre hats gedauert damals mit,neutral,absoluter heute schluß gekämpft team angeführt gemeinsam verdient titel gewonnen 36 jahre hat gedauert damals
214,selbst ich bin mittlerweile so woke dass ich weiß dass mein kommentar zu dieser werbung nicht mehr zeitgemäß wäre,neutral,mittlerweile woke weiß kommentar werbung mehr zeitgemäß wäre
215,panik und chaos bei anreise zum wmfinale na ja hierzulande reichen der bahn sibirische 5 grad celsius zum chaos ansonsten etwas was dank der weitsichtigen planung von dfb und politik dem deutschen fan erspart blieb und auf sicht auch erspart bleiben wird,positiv,panik chaos anreise wmfinale na ja hierzulande reichen bahn sibirische 5 grad celsius chaos ansonsten dank weitsichtigen planung dfb politik deutschen fan erspart blieb sicht erspart bleiben
216,ey das ist doch nur ein umhang der zu besonderen anlässen getragen wird ich glaube nicht das sich dadurch unwohl fühlte aber das ist deutschland leider dieser tage nix auf die kette bekommen schon gar nicht bei dieser aber immer meckern,positiv,ey umhang besonderen anlässen getragen glaube dadurch unwohl fühlte deutschland leider tage nix kette bekommen schon gar immer meckern
217,die zehn schönsten tore der wm 2022,neutral,zehn schönsten tore wm 2022
218,es gab zwar viel hetze und missverständnisse müssen diesen moment aber dafür nutzen um aufeinander zuzugehen anstatt weitere parallelgesellschaften in ihren positionen zu festigen,positiv,gab hetze missverständnisse müssen moment dafür nutzen aufeinander zuzugehen anstatt weitere parallelgesellschaften positionen festigen
219,stell dir vor du machst 4 tore in einem wm finale und verlierst es trotzdem,neutral,stell machst 4 tore wm finale verlierst trotzdem
220,die stimmen zum wmfinale,neutral,stimmen wmfinale
221,dieser legende namens messi im moment seines lebens die katarischroyale robe vom könig selbst umzuhängen ist wahrlich eine ehre,positiv,legende namens messi moment lebens katarischroyale robe könig umzuhängen wahrlich ehre
222,du redest von korrupten scheichs dabei solltet ihr besser mal vor unserer eigenen schweizer nati haustür kehren muri ist ein fass ohne boden an vetternwirtschaft aber eben medien lassen sich halt auch kaufen,positiv,redest korrupten scheichs dabei solltet besser mal unserer eigenen schweizer nati haustür kehren muri fas boden vetternwirtschaft eben medien lassen halt kaufen
223,wenn bei der nur spieler in einer nationalmannschaft zugelassen wären die auch aus dem land stammen und keine internationalen söldnertruppen wäre kroatien im finale gewesen und frankreich hätte gar nicht antreten dürfen,neutral,spieler nationalmannschaft zugelassen wären land stammen internationalen söldnertruppen wäre kroatien finale frankreich hätte gar antreten dürfen
224,ganz frankreich wurde heute von argentinien gefckt messi hat gezeigt wer der wahre goat ist,neutral,ganz frankreich wurde heute argentinien gefckt messi gezeigt wer wahre goat
225,habe die wm nicht gesehen da boykottiert kann und darf also nichts sagen zu den spielen spielern aber habe es natürlich medial verfolgt wie so manches kommentiert wurde und wie berichtet wurde insgesamt hoffe ich auch für mich,neutral,wm gesehen boykottiert darf sagen spielen spielern natürlich medial verfolgt kommentiert wurde berichtet wurde insgesamt hoffe
226,das hat eben mit dem austragungsort zu tun und der ist mehr als fraglich aber da hätte man vor bzw kurz nach der vergabe der tätig werden müssen während der wm ist das nur noch peinlich und verlogen mit dem gespielten fußball hat das aber nichts zu tun der war ok,negativ,eben austragungsort tun mehr fraglich hätte bzw kurz vergabe tätig müssen wm peinlich verlogen gespielten fußball tun ok
227,und in deutschland darfst du dich nicht mehr als indianer verkleiden,positiv,deutschland darfst mehr indianer verkleiden
228,wann startet eigentlich die fußball wm und mein ihr dass deutschland die gruppenphase übersteht,neutral,wann startet eigentlich fußball wm deutschland gruppenphase übersteht
229,die haben echt freikarten an hinz und kunz verteilt und dann waren beim finale trotzdem noch viele plätze frei,neutral,echt freikarten hinz kunz verteilt beim finale trotzdem viele plätze frei
230,katars emir wollte mit der geschichte schreiben aus sicht der arabischen welt ist ihm das gelungen außerhalb der region gerät das emirat aber wieder in verruf t,positiv,katar emir geschichte schreiben sicht arabischen welt gelungen außerhalb region gerät emirat verruf t
231,wie kann euch die immer noch interessieren wenn längst klar ist dass ash ketchum weltmeister geworden ist,neutral,immer interessieren längst klar ash ketchum weltmeister geworden
232,die gastarbeiter nachdem gutmenschen erzählen wie stolz sie drauf sind die nicht geschaut zu haben,neutral,gastarbeiter nachdem gutmenschen erzählen stolz drauf geschaut
233,vergesst argentinien das sind wikrlich die gewinner der weltmeisterschaft in katar,neutral,vergesst argentinien wikrlich gewinner weltmeisterschaft katar
234,weiß die quelle nicht aber sagt einiges,neutral,weiß quelle sagt
235,die erste fußballweltmeisterschaft seit jahrenjahrzehnten bei der ich kein einziges spiel gesehen habe das hätte ich mir auch nicht träumen lassen,negativ,erste fußballweltmeisterschaft seit jahrenjahrzehnten einziges spiel gesehen hätte träumen lassen
236,meine letzten worte zur bitte unterscheidet ob ein verschossen wird oder ob der torwart ihn hält das ist ein unterschied,neutral,letzten worte bitte unterscheidet verschossen torwart hält unterschied
237,darauf kannst du dir einen fappen genosse,neutral,darauf kannst fappen genosse
238,heute abend in reto rufer von zu in und wahl müssen priorität haben,neutral,heute abend reto rufer wahl müssen priorität
239,wurden nepalesische arbeiter nach erdbeben in festgehalten neue schwere vorwürfe gegen macher,neutral,wurden nepalesische arbeiter erdbeben festgehalten neue schwere vorwürfe macher
240,ließen die macher nepalesen nicht zur beerdigung der erdbebenopfer mein text,neutral,ließen macher nepalesen beerdigung erdbebenopfer text
241,für die in katar kommen auf jedes spiel bis jetzt 62 tote arbeiter,negativ,katar kommen spiel 62 tote arbeiter
242,von hätte deutschland auch keine punkte bekommen die kritik wegen der wmvergabe ist zu stark,neutral,hätte deutschland punkte bekommen kritik wegen wmvergabe stark
243,gute pr aktion für die wm in katar,negativ,gute pr aktion wm katar
244,alles nur lippenbekenntnisse dass sollte mal zeichen setzen und die in jetzt schon boykottieren,negativ,lippenbekenntnisse mal zeichen setzen schon boykottieren
245,übt erneut scharfe kritik an,negativ,übt erneut scharfe kritik
246,neuer bericht arbeitsbedingungen für arbeiter in weiterhin katastrophal,negativ,neuer bericht arbeitsbedingungen arbeiter weiterhin katastrophal
247,die leeren versprechungen der regierung von vor muss handeln neuer bericht,negativ,leeren versprechungen regierung handeln neuer bericht
248,is a dictator er ist täter und mitverantwortlich für die,negativ,is a dictator täter mitverantwortlich
249,oton der herr hat soviel mit fußball zu tun wie ich mit raumfahrt,neutral,oton herr soviel fußball tun raumfahrt
250,ihr schaut absichtlich weg weil ihr auf eure gehälter schmiergelder nicht verzichten wollt ihr seid mittäter,negativ,schaut absichtlich gehälter schmiergelder verzichten wollt seid mittäter
251,fail bei wenig imageförderndes von sprecher koch macht auf friedman erkenntnis0,neutral,fail wenig imageförderndes sprecher koch macht friedman erkenntnis0
252,ihr macht euch alle zum mittäter amp unterstützt,neutral,macht mittäter amp unterstützt
253,können die 3 bitte nochmal in ne anständige sendung kommen in der sie mehr als 10 minuten richtig diskutieren können,neutral,3 bitte nochmal ne anständige sendung kommen mehr 10 minuten richtig diskutieren
254,grandios der norbert blüm bei über die in,neutral,grandios norbert blüm
255,warum schmeißt ihr den sprecher nicht raus bei ist menschenverachtend,negativ,warum schmeißt sprecher raus menschenverachtend
256,blüm heizt dem schmierbolzen blatter ein,neutral,blüm heizt schmierbolzen blatter
257,nobert räumt bei auf endlich redet mal jemand klartext mit der bzgl der bedingungen in,positiv,nobert räumt endlich redet mal jemand klartext bzgl bedingungen
258,sprecher alexander koch vs norbert bei thema menschenrechtsverletzungen in,negativ,sprecher alexander koch v norbert thema menschenrechtsverletzungen
259,norbert ist gleich wieder bei ebenso wie ein vertreter der,neutral,norbert gleich ebenso vertreter
260,langsam wirds interessant ob die noch in stattfinden wirdunmöglich genauso wie,negativ,langsam wirds interessant stattfinden wirdunmöglich genauso
261,und sein team bei recherchen zu arbeitsbedingungen auf baustellen festgenommen,negativ,team recherchen arbeitsbedingungen baustellen festgenommen
262,wenn einen die retweetet kann es mit ner einladungen zur kritischen berichterstattung über die in katar nicht lang dauern,negativ,retweetet ner einladungen kritischen berichterstattung katar lang dauern
263,hinschauen wie in gastarbeiter unter unwürdigen bedingungen leben text amp video,negativ,hinschauen gastarbeiter unwürdigen bedingungen leben text amp video
264,spiegelonline in sind bbcjournalisten wegen recherchen zur festgenommen worden,negativ,spiegelonline bbcjournalisten wegen recherchen festgenommen worden
265,in sind journalisten w recherchen zur festgenommen worden,negativ,journalisten w recherchen festgenommen worden
266,in sind bbcjournalisten wegen recherchen zur festgenommen worden,negativ,bbcjournalisten wegen recherchen festgenommen worden
267,nach den feier von gestern zeigt fussball mit in seine schattenseiten norbert blüm ganz unverblümt,negativ,feier gestern zeigt fussball schattenseiten norbert blüm ganz unverblümt
268,norbert blüm mit stern tv in in diesem land kann keine fußballwm stattfinden via,negativ,norbert blüm stern tv land fußballwm stattfinden via
269,ermittelt zu festnahme von bbcrepotern in katar oh ja das ist die richtige instanz für solche ermittlungen,negativ,ermittelt festnahme bbcrepotern katar oh ja richtige instanz ermittlungen
270,erneute festnahme von journalisten in diesmal bbcteam wahnsinn,negativ,erneute festnahme journalisten diesmal bbcteam wahnsinn
271,vor erdbeben in berichtete über gastarbeiter die in bei einsatz für starben,negativ,erdbeben berichtete gastarbeiter einsatz starben
272,morgen in bilderstrecke von leon windscheid und mir zu in,neutral,morgen bilderstrecke leon windscheid
273,wie die verbesserung der menschenrechtslage versprach und nichts passierte morgen in welt am sonntag,negativ,verbesserung menschenrechtslage versprach passierte morgen welt sonntag
274,industrial area 16 arbeiter teilen sich 1 raum 300 männer gesamt überall kakerlaken amp dreck,negativ,industrial area 16 arbeiter teilen 1 raum 300 männer gesamt überall kakerlaken amp dreck
275,offenbar gut sind arbeitsbedingungen auf baustellen bitter standards gelten andernorts nicht,negativ,offenbar gut arbeitsbedingungen baustellen bitter standard gelten andernorts
276,lusail city 952015 42 grad im schatten hier entsteht das finalstadion für die,negativ,lusail city 952015 42 grad schatten entsteht finalstadion
277,industrial area 16 arbeiter teilen sich 1 zimmer 300 männer insgesamt überall kakerlaken amp dreck,negativ,industrial area 16 arbeiter teilen 1 zimmer 300 männer insgesamt überall kakerlaken amp dreck
278,ich war für in um zu schauen ob im land endlich die menschenrechte geachtet werden fazit nein morgen in,negativ,schauen land endlich menschenrechte geachtet fazit nein morgen
279,in diesem land kann keine fußballwm stattfinden via,negativ,land fußballwm stattfinden via
280,scheißhaus mit dusche für die arbeiter und logen für herrn blatter,negativ,scheißhaus dusche arbeiter logen herrn blatter
281,tja die gedanken eines fussballverbandes sind nicht erste seit unergründlich,neutral,tja gedanken fussballverbandes erste seit unergründlich
282,gerade bei einen bericht über die bauarbeiten in gesehen die darf niemals dort stattfinden,negativ,gerade bericht bauarbeiten gesehen darf niemals stattfinden
283,norbert blüm bei ein apell an schweinsteiger und co sklavenarbeit bei der in boykottieren danke für diese worte,negativ,norbert blüm apell schweinsteiger co sklavenarbeit boykottieren danke worte
284,hauptsache die scheffelt milliarden an dem blut klebt,negativ,hauptsache scheffelt milliarden blut klebt
285,die wm ist immer noch eine farce boykott,negativ,wm immer farce boykott
286,unmenschlich sklaverei die in sollte von allen vereine und fans boykottiert werden abartig darf nicht sein,negativ,unmenschlich sklaverei vereine fan boykottiert abartig darf
287,sehr interessant gerade zu den arbeitsbedingungen in katar,neutral,interessant gerade arbeitsbedingungen katar
288,nobert blüm und berichten jetzt über die arbeitsbedingungen in katar,neutral,nobert blüm berichten arbeitsbedingungen katar
289,es gibt sie nicht die schlechten arbeitsbedingungen in katar oder etwa doch link via sterntv,positiv,gibt schlechten arbeitsbedingungen katar etwa link via sterntv
290,der kampfrichter der für gewertet hat hätte auch bei der abstimmung zur teilgenommen haben können,neutral,kampfrichter gewertet hätte abstimmung teilgenommen
291,baut nun städte für die bauarbeiter wo die bauarbeiter dieser städte wohnen werden ist unklar,negativ,baut städte bauarbeiter bauarbeiter städte wohnen unklar
292,die in auf jeden fall ihr wollt aber nur wissen ob man auch die wm in russland boykottieren sollte,positiv,fall wollt wissen wm russland boykottieren
293,von anfang an eine schnapsidee würd mich schwer wundern wenn da noch mal was gutes bei rauskommt,negativ,anfang schnapsidee würd schwer wundern mal gutes rauskommt
294,namen im bestechungsskandal werden genannt,negativ,namen bestechungsskandal genannt
295,im der in bei berichterstattung über baustellen für verhaftet wurde,negativ,berichterstattung baustellen verhaftet wurde
296,die müsste der bezüglich der und die teilnahme europas absagen,negativ,müsste bezüglich teilnahme europa absagen
297,wenn die politik ins spiel kommt ist der sportliche sinn aussen vor und geld verdirbt den charakter,negativ,politik spiel kommt sportliche sinn aussen geld verdirbt charakter
298,noch ein grund für den fußballfreien winter 2022,neutral,grund fußballfreien winter 2022
299,rt team vom bei recherche über gastarbeiter kurzzeitig festgenommen,negativ,rt team recherche gastarbeiter kurzzeitig festgenommen
